TStamp	X	Y	Z
1613752447337	-0.543457	5.459351	8.162216
1613752447339	-0.476456	5.435410	7.997116
1613752447341	-0.450134	5.411484	7.769791
1613752447344	-0.438171	5.406708	7.633408
1613752447346	-0.423813	5.375595	7.523331
1613752447349	-0.411850	5.332520	7.415649
1613752447351	-0.411850	5.315781	7.310364
1613752447353	-0.421417	5.258347	7.262512
1613752447356	-0.591309	5.196136	7.217056
1613752447358	-0.797104	5.148270	7.252945
1613752447360	-0.885635	5.095642	7.360626
1613752447363	-0.964600	5.112381	7.461121
1613752447365	-1.012451	5.109985	7.597504
1613752447368	-1.067490	5.105209	7.709976
1613752447370	-1.115341	5.150665	7.855927
1613752447372	-1.165588	5.143494	7.982758
1613752447375	-1.151230	5.200912	8.111969
1613752447377	-1.172775	5.234421	8.224426
1613752447379	-1.206268	5.248779	8.348862
1613752447382	-1.182343	5.248779	8.427811
1613752447384	-1.172775	5.267914	8.513962
1613752447387	-1.165588	5.251175	8.580963
1613752447389	-1.108170	5.263138	8.638382
1613752447391	-1.050735	5.267914	8.702988
1613752447394	-0.976563	5.241592	8.781952
1613752447396	-0.907166	5.272705	8.860916
1613752447398	-0.871277	5.265518	8.994919
1613752447401	-0.825806	5.255951	9.121735
1613752447403	-0.782745	5.272705	9.236588
1613752447406	-0.722916	5.270309	9.332306
1613752447408	-0.663101	5.315781	9.473480
1613752447410	-0.612854	5.322952	9.554840
1613752447413	-0.574570	5.361237	9.679260
1613752447415	-0.567383	5.380386	9.801300
1613752447418	-0.572174	5.380386	9.887436
1613752447420	-0.610458	5.399521	9.937683
1613752447422	-0.639175	5.428238	9.968796
1613752447425	-0.696594	5.411484	9.973587
1613752447427	-0.737274	5.425842	9.966400
1613752447429	-0.794708	5.435410	9.908981
1613752447432	-0.852127	5.433029	9.887436
1613752447434	-0.878448	5.440201	9.856339
1613752447437	-0.897598	5.476089	9.786942
1613752447439	-0.883240	5.497635	9.746262
1613752447441	-0.873672	5.514374	9.717545
1613752447444	-0.832993	5.543091	9.688843
1613752447446	-0.768387	5.557449	9.662521
1613752447448	-0.715744	5.545486	9.679260
1613752447451	-0.643951	5.519165	9.645767
1613752447453	-0.560211	5.526337	9.605087
1613752447456	-0.469284	5.511978	9.562012
1613752447458	-0.387924	5.497635	9.526123
1613752447460	-0.323318	5.473694	9.497406
1613752447463	-0.258713	5.473694	9.425629
1613752447465	-0.182144	5.464127	9.406479
1613752447467	-0.122314	5.480881	9.344269
1613752447470	-0.084030	5.464127	9.286835
1613752447472	-0.040970	5.449768	9.200699
1613752447475	-0.029007	5.411484	9.133698
1613752447477	-0.012253	5.397125	9.016449
1613752447479	-0.009857	5.361237	8.901596
1613752447482	-0.019424	5.282272	8.769989
1613752447484	-0.036179	5.258347	8.631210
1613752447487	-0.079254	5.198532	8.480453
1613752447489	-0.117538	5.172211	8.391922
1613752447491	-0.170181	5.124344	8.245956
1613752447494	-0.261108	5.074097	8.150253
1613752447496	-0.371170	5.042999	8.021042
1613752447498	-0.440567	5.038208	7.925323
1613752447501	-0.478851	5.040604	7.896606
1613752447503	-0.452530	5.083664	7.870285
1613752447506	-0.435776	5.100418	7.882248
1613752447508	-0.409454	5.095642	7.927719
1613752447510	-0.375961	5.071701	7.992325
1613752447513	-0.411850	5.035812	8.023438
1613752447515	-0.416641	4.978394	8.123932
1613752447517	-0.445358	4.906601	8.202896
1613752447520	-0.469284	4.901810	8.293823
1613752447522	-0.474060	4.856354	8.394318
1613752447525	-0.481247	4.861145	8.530716
1613752447527	-0.512344	4.830032	8.655136
1613752447529	-0.498001	4.841995	8.803497
1613752447532	-0.517136	4.827637	8.887238
1613752447534	-0.519531	4.820465	9.023636
1613752447536	-0.502777	4.796524	9.107376
1613752447539	-0.483643	4.770218	9.188736
1613752447541	-0.466888	4.784561	9.236588
1613752447544	-0.438171	4.763031	9.236588
1613752447546	-0.399887	4.731918	9.246170
1613752447548	-0.368774	4.717575	9.203094
1613752447551	-0.323318	4.669708	9.136093
1613752447553	-0.292206	4.650574	9.040375
1613752447555	-0.246750	4.593140	8.949448
1613752447558	-0.179749	4.585968	8.841782
1613752447560	-0.160599	4.564423	8.760422
1613752447563	-0.129501	4.571609	8.657532
1613752447565	-0.043365	4.535721	8.537888
1613752447567	0.006897	4.518967	8.444565
1613752447570	0.066711	4.499817	8.344070
1613752447572	0.119354	4.499817	8.245956
1613752447575	0.164810	4.509399	8.178970
1613752447577	0.262924	4.516571	8.107178
1613752447579	0.322739	4.509399	8.037781
1613752447582	0.334702	4.514175	7.985153
1613752447584	0.375381	4.535721	7.946854
1613752447586	0.394531	4.518967	7.934891
1613752447589	0.375381	4.509399	7.918152
1613752447591	0.353851	4.487854	7.894211
1613752447594	0.353851	4.449570	7.848755
1613752447596	0.329926	4.456757	7.841583
1613752447598	0.286850	4.473495	7.829605
1613752447601	0.258133	4.516571	7.827225
1613752447603	0.248566	4.547684	7.791321
1613752447605	0.200714	4.600327	7.764999
1613752447608	0.164810	4.619461	7.753036
1613752447610	0.083466	4.636215	7.753036
1613752447613	0.014069	4.638611	7.693222
1613752447615	-0.043365	4.662537	7.671692
1613752447617	-0.124710	4.648178	7.638184
1613752447620	-0.174957	4.674500	7.616653
1613752447622	-0.234787	4.691254	7.614258
1613752447624	-0.277847	4.707993	7.552048
1613752447627	-0.292206	4.705612	7.547256
1613752447629	-0.296997	4.707993	7.525726
1613752447632	-0.285034	4.748672	7.511368
1613752447634	-0.277847	4.786957	7.458725
1613752447636	-0.273071	4.794144	7.470688
1613752447639	-0.246750	4.760635	7.468292
1613752447641	-0.215637	4.779785	7.501801
1613752447643	-0.220428	4.779785	7.470688
1613752447646	-0.189316	4.786957	7.468292
1613752447648	-0.177353	4.784561	7.468292
1613752447651	-0.153427	4.772598	7.475479
1613752447653	-0.160599	4.786957	7.465897
1613752447655	-0.170181	4.779785	7.504181
1613752447658	-0.167786	4.794144	7.544861
1613752447660	-0.174957	4.789352	7.559219
1613752447663	-0.196503	4.806107	7.626221
1613752447665	-0.218033	4.810883	7.659729
1613752447667	-0.225220	4.822845	7.686035
1613752447670	-0.234787	4.853958	7.709976
1613752447672	-0.222824	4.851563	7.748260
1613752447674	-0.213242	4.865921	7.788940
1613752447677	-0.191711	4.877884	7.803284
1613752447679	-0.174957	4.868317	7.853546
1613752447682	-0.136673	4.892242	7.865509
1613752447684	-0.095993	4.882675	7.922928
1613752447686	-0.050537	4.925751	7.985153
1613752447689	-0.002686	4.913773	8.064102
1613752447691	0.047562	4.923355	8.085648
1613752447693	0.095428	4.923355	8.126328
1613752447696	0.140884	4.918564	8.128708
1613752447698	0.198318	4.887466	8.167007
