TStamp	X	Y	Z
1613752447335	0.244812	0.094864	0.021973
1613752447338	0.225250	0.086304	0.015854
1613752447340	0.200821	0.075317	0.007324
1613752447343	0.170273	0.063095	-0.001221
1613752447345	0.148285	0.053314	-0.003662
1613752447347	0.114075	0.030106	-0.013458
1613752447350	0.083542	0.008133	-0.023224
1613752447352	0.044464	-0.021179	-0.031769
1613752447354	0.010254	-0.050507	-0.037872
1613752447357	-0.014191	-0.072495	-0.034225
1613752447359	-0.053268	-0.105484	-0.036667
1613752447362	-0.087479	-0.144577	-0.030548
1613752447364	-0.109482	-0.166565	-0.020782
1613752447366	-0.126572	-0.191010	-0.009781
1613752447369	-0.149780	-0.215454	0.001221
1613752447371	-0.169342	-0.230103	0.014648
1613752447373	-0.185226	-0.239868	0.030533
1613752447376	-0.201111	-0.248428	0.043961
1613752447378	-0.213318	-0.254547	0.057388
1613752447381	-0.220657	-0.254547	0.073273
1613752447383	-0.226761	-0.255753	0.089157
1613752447385	-0.236542	-0.260635	0.101379
1613752447388	-0.238983	-0.260635	0.116043
1613752447390	-0.238983	-0.265518	0.128265
1613752447393	-0.236542	-0.271637	0.138031
1613752447395	-0.234085	-0.280197	0.142914
1613752447397	-0.226761	-0.286301	0.149033
1613752447400	-0.214554	-0.288742	0.153915
1613752447402	-0.205994	-0.292404	0.156357
1613752447404	-0.190109	-0.288742	0.158798
1613752447407	-0.173019	-0.285080	0.161240
1613752447409	-0.149780	-0.278961	0.162476
1613752447412	-0.127808	-0.266754	0.163681
1613752447414	-0.103363	-0.250870	0.163681
1613752447416	-0.070389	-0.223984	0.166122
1613752447419	-0.044724	-0.198334	0.164917
1613752447421	-0.016632	-0.167801	0.167358
1613752447423	0.013916	-0.133591	0.172241
1613752447426	0.044464	-0.098160	0.178360
1613752447428	0.071335	-0.060272	0.184448
1613752447431	0.096985	-0.021179	0.191772
1613752447433	0.127518	0.021545	0.200333
1613752447435	0.147064	0.056992	0.208893
1613752447438	0.172729	0.092422	0.219894
1613752447440	0.191040	0.119293	0.227219
1613752447443	0.209366	0.142517	0.234543
1613752447445	0.227692	0.160843	0.241867
1613752447447	0.243576	0.173050	0.244308
1613752447450	0.263138	0.185257	0.246780
1613752447452	0.279022	0.187698	0.246780
1613752447454	0.291229	0.185257	0.244308
1613752447457	0.305878	0.177933	0.240662
1613752447459	0.319321	0.166931	0.234543
1613752447462	0.330322	0.151062	0.223541
1613752447464	0.336441	0.131516	0.212570
1613752447466	0.360870	0.124176	0.206451
1613752447469	0.362091	0.097305	0.191772
1613752447471	0.365753	0.075317	0.175903
1613752447473	0.360870	0.043549	0.158798
1613752447476	0.365753	0.025223	0.146591
1613752447478	0.363312	0.005676	0.131927
1613752447481	0.355972	-0.017532	0.120926
1613752447483	0.348648	-0.038300	0.108704
1613752447485	0.334000	-0.062729	0.095276
1613752447488	0.318115	-0.084717	0.085495
1613752447490	0.299789	-0.107925	0.076950
1613752447492	0.274139	-0.132355	0.069626
1613752447495	0.249695	-0.156799	0.065948
1613752447497	0.220367	-0.180008	0.062286
1613752447500	0.197159	-0.199570	0.063507
1613752447502	0.169052	-0.223984	0.063507
1613752447504	0.143402	-0.244751	0.067169
1613752447507	0.120193	-0.265518	0.067169
1613752447509	0.096985	-0.286301	0.067169
1613752447511	0.074982	-0.300964	0.070831
1613752447514	0.054230	-0.315613	0.069626
1613752447516	0.040787	-0.322952	0.072067
1613752447519	0.023697	-0.327835	0.074509
1613752447521	0.015137	-0.327835	0.079391
1613752447523	0.006577	-0.325394	0.079391
1613752447526	0.004135	-0.318069	0.084274
1613752447528	0.000473	-0.309509	0.089157
1613752447531	0.001694	-0.299744	0.092834
1613752447533	0.013916	-0.281403	0.100159
1613752447535	0.023697	-0.267975	0.106262
