TStamp	X	Y	Z
1613754844671	-0.124710	-0.013046	9.865906
1613754844674	-0.124710	-0.001083	9.849152
1613754844676	-0.139069	-0.005859	9.827621
1613754844678	-0.127106	0.008499	9.825226
1613754844681	-0.119934	0.008499	9.837189
1613754844683	-0.105576	-0.001083	9.839584
1613754844686	-0.119934	0.006104	9.841980
1613754844688	-0.129501	-0.025009	9.825226
1613754844690	-0.141464	0.006104	9.841980
1613754844693	-0.119934	-0.010651	9.822830
1613754844695	-0.131897	-0.034576	9.841980
1613754844697	-0.119934	-0.029785	9.839584
1613754844700	-0.143860	0.022858	9.841980
1613754844702	-0.124710	-0.008255	9.832397
1613754844704	-0.107971	-0.005859	9.839584
1613754844707	-0.107971	-0.003464	9.839584
1613754844709	-0.103180	-0.005859	9.834793
1613754844712	-0.115143	-0.032181	9.827621
1613754844714	-0.122314	-0.003464	9.841980
1613754844716	-0.119934	-0.001083	9.818054
1613754844719	-0.127106	-0.017822	9.830017
1613754844721	-0.122314	0.003708	9.822830
1613754844724	-0.124710	-0.003464	9.849152
1613754844726	-0.117538	0.015671	9.837189
1613754844728	-0.134293	0.006104	9.827621
1613754844731	-0.136673	-0.020218	9.832397
1613754844733	-0.112747	-0.022614	9.846756
1613754844735	-0.131897	0.003708	9.837189
1613754844738	-0.115143	-0.013046	9.825226
1613754844740	-0.112747	0.006104	9.844376
1613754844743	-0.127106	-0.003464	9.825226
1613754844745	-0.115143	-0.020218	9.832397
1613754844747	-0.119934	0.001312	9.830017
1613754844750	-0.131897	0.003708	9.849152
1613754844752	-0.119934	-0.005859	9.844376
1613754844754	-0.153427	0.003708	9.830017
1613754844757	-0.127106	-0.015442	9.825226
1613754844759	-0.153427	0.013275	9.818054
1613754844762	-0.124710	0.010880	9.825226
1613754844764	-0.122314	-0.001083	9.865906
1613754844766	-0.107971	-0.013046	9.837189
1613754844769	-0.115143	0.006104	9.813263
1613754844771	-0.100784	-0.015442	9.851547
1613754844773	-0.112747	-0.003464	9.856339
1613754844776	-0.141464	-0.013046	9.825226
1613754844778	-0.129501	-0.001083	9.822830
1613754844781	-0.122314	-0.003464	9.820435
1613754844783	-0.127106	0.001312	9.830017
1613754844785	-0.160599	0.003708	9.841980
1613754844788	-0.134293	-0.022614	9.827621
1613754844790	-0.127106	-0.003464	9.827621
1613754844793	-0.122314	-0.015442	9.827621
1613754844797	-0.124710	0.010880	9.827621
1613754844795	-0.122314	-0.008255	9.806091
1613754844800	-0.129501	0.008499	9.830017
1613754844802	-0.105576	0.006104	9.837189
1613754844804	-0.117538	-0.001083	9.846756
1613754844807	-0.129501	-0.001083	9.827621
1613754844809	-0.127106	-0.005859	9.830017
1613754844812	-0.124710	-0.008255	9.832397
1613754844814	-0.119934	-0.010651	9.861115
1613754844816	-0.107971	-0.015442	9.825226
1613754844819	-0.110352	-0.015442	9.834793
1613754844821	-0.115143	-0.013046	9.832397
1613754844823	-0.119934	-0.022614	9.834793
1613754844826	-0.122314	-0.027405	9.832397
1613754844828	-0.122314	0.001312	9.830017
1613754844831	-0.122314	-0.017822	9.849152
1613754844833	-0.134293	-0.003464	9.830017
1613754844835	-0.127106	-0.005859	9.837189
1613754844838	-0.143860	-0.008255	9.830017
1613754844840	-0.105576	-0.003464	9.803696
1613754844842	-0.110352	-0.001083	9.815659
1613754844845	-0.124710	-0.005859	9.830017
1613754844847	-0.134293	0.006104	9.837189
1613754844850	-0.115143	-0.015442	9.839584
1613754844852	-0.122314	-0.008255	9.844376
1613754844854	-0.105576	-0.001083	9.834793
1613754844857	-0.129501	-0.017822	9.837189
1613754844859	-0.115143	-0.005859	9.822830
1613754844862	-0.122314	-0.001083	9.839584
1613754844864	-0.122314	-0.020218	9.839584
1613754844866	-0.136673	-0.005859	9.810867
1613754844869	-0.124710	-0.022614	9.806091
1613754844871	-0.100784	0.015671	9.813263
1613754844873	-0.148636	-0.017822	9.844376
1613754844876	-0.127106	-0.015442	9.830017
1613754844878	-0.134293	-0.003464	9.818054
1613754844881	-0.115143	0.006104	9.825226
1613754844883	-0.124710	-0.010651	9.832397
1613754844885	-0.131897	0.008499	9.818054
1613754844888	-0.129501	0.010880	9.820435
1613754844890	-0.119934	-0.001083	9.856339
1613754844892	-0.107971	-0.008255	9.820435
1613754844895	-0.110352	-0.005859	9.834793
1613754844897	-0.124710	-0.008255	9.827621
1613754844900	-0.131897	-0.010651	9.818054
1613754844902	-0.119934	-0.020218	9.830017
1613754844904	-0.131897	-0.039368	9.832397
1613754844907	-0.124710	-0.017822	9.830017
1613754844909	-0.124710	0.013275	9.818054
1613754844911	-0.119934	-0.001083	9.820435
1613754844914	-0.129501	-0.001083	9.858719
1613754844916	-0.136673	-0.015442	9.851547
1613754844919	-0.122314	-0.001083	9.791733
1613754844921	-0.119934	-0.001083	9.827621
1613754844923	-0.124710	0.015671	9.851547
1613754844926	-0.143860	-0.025009	9.815659
1613754844928	-0.146255	-0.001083	9.815659
1613754844931	-0.139069	-0.003464	9.856339
1613754844933	-0.127106	0.001312	9.834793
1613754844935	-0.122314	-0.008255	9.834793
1613754844938	-0.124710	-0.027405	9.818054
1613754844940	-0.127106	-0.010651	9.834793
1613754844942	-0.115143	-0.005859	9.822830
1613754844945	-0.122314	-0.029785	9.832397
1613754844947	-0.122314	-0.001083	9.834793
1613754844950	-0.115143	-0.010651	9.832397
1613754844952	-0.107971	-0.029785	9.815659
1613754844954	-0.136673	-0.013046	9.834793
1613754844957	-0.119934	-0.005859	9.839584
1613754844959	-0.134293	-0.013046	9.825226
1613754844961	-0.139069	-0.020218	9.839584
1613754844964	-0.129501	-0.010651	9.841980
1613754844966	-0.112747	-0.010651	9.839584
1613754844969	-0.115143	-0.001083	9.830017
1613754844971	-0.141464	0.006104	9.844376
1613754844973	-0.124710	-0.017822	9.827621
1613754844976	-0.122314	-0.003464	9.832397
1613754844978	-0.134293	-0.027405	9.825226
1613754844980	-0.127106	0.003708	9.841980
1613754844983	-0.129501	0.001312	9.822830
1613754844985	-0.110352	-0.001083	9.844376
1613754844988	-0.115143	-0.015442	9.839584
1613754844990	-0.134293	-0.015442	9.818054
1613754844992	-0.127106	-0.025009	9.818054
1613754844995	-0.124710	-0.008255	9.808472
1613754844997	-0.107971	-0.015442	9.796509
1613754845000	-0.117538	0.006104	9.830017
1613754845002	-0.117538	-0.005859	9.822830
1613754845004	-0.139069	-0.034576	9.818054
1613754845007	-0.110352	-0.010651	9.841980
1613754845009	-0.122314	0.015671	9.830017
1613754845011	-0.117538	-0.003464	9.834793
1613754845014	-0.112747	0.003708	9.858719
1613754845016	-0.105576	-0.003464	9.832397
1613754845019	-0.110352	-0.015442	9.825226
1613754845021	-0.136673	0.001312	9.813263
1613754845023	-0.134293	-0.008255	9.834793
1613754845026	-0.115143	-0.027405	9.820435
1613754845028	-0.117538	-0.003464	9.820435
1613754845030	-0.124710	-0.003464	9.815659
1613754845033	-0.107971	-0.015442	9.837189
1613754845035	-0.119934	-0.005859	9.841980
1613754845038	-0.124710	-0.022614	9.846756
1613754845040	-0.136673	0.013275	9.827621
1613754845042	-0.136673	0.010880	9.820435
1613754845045	-0.131897	-0.005859	9.808472
1613754845047	-0.122314	-0.013046	9.830017
1613754845049	-0.112747	-0.003464	9.818054
1613754845052	-0.127106	0.001312	9.822830
1613754845054	-0.124710	0.001312	9.822830
1613754845057	-0.115143	0.008499	9.844376
1613754845059	-0.134293	-0.008255	9.815659
1613754845061	-0.124710	-0.001083	9.820435
1613754845064	-0.110352	-0.005859	9.822830
1613754845066	-0.117538	-0.017822	9.825226
1613754845068	-0.103180	-0.008255	9.818054
1613754845071	-0.129501	-0.015442	9.841980
1613754845073	-0.119934	0.008499	9.820435
1613754845076	-0.100784	-0.008255	9.834793
1613754845078	-0.112747	-0.013046	9.822830
1613754845080	-0.124710	0.010880	9.832397
1613754845083	-0.134293	-0.017822	9.803696
1613754845085	-0.127106	-0.005859	9.813263
1613754845088	-0.112747	-0.003464	9.841980
1613754845090	-0.122314	-0.017822	9.856339
1613754845092	-0.129501	0.010880	9.822830
1613754845095	-0.115143	0.006104	9.815659
1613754845097	-0.119934	0.013275	9.818054
1613754845099	-0.134293	0.008499	9.834793
1613754845102	-0.115143	0.003708	9.818054
1613754845104	-0.129501	-0.001083	9.818054
1613754845107	-0.115143	-0.008255	9.834793
1613754845109	-0.107971	-0.001083	9.825226
