OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
H-2A R/B,2012-025E,2022-02-25T02:52:12.826560,14.84455222,.0056011,98.5175,263.8495,48.6817,311.9196,0,U,38341,999,52906,.59114E-4,.446E-5,0
CUSAT 2 & FALCON 9 R/B,2013-055G,2022-02-24T19:22:52.351104,14.57880397,.054943,80.9637,318.6582,101.9751,264.3560,0,U,39271,999,44033,.30932E-3,.13879E-3,0
CZ-2C R/B,2013-059B,2022-02-24T18:19:09.250464,15.29518080,.004511,97.1781,112.9625,16.8569,343.4158,0,U,39364,999,46297,.16418E-3,.4767E-4,0
SL-4 R/B,2014-021B,2022-02-24T16:01:04.505664,15.07760504,.0167198,51.6151,120.8706,286.4786,71.7871,0,U,39679,999,43209,.12376E-3,.2274E-4,0
ALOS-2,2014-029A,2022-02-25T09:43:02.365536,14.79472696,.0001545,97.9210,155.1471,91.0384,269.1022,0,U,39766,999,41906,.17327E-4,.78E-6,0
CZ-2C R/B,2014-071B,2022-02-24T21:50:36.879648,15.54092532,.0014819,97.4071,24.9650,74.5593,285.7297,0,U,40306,999,40940,.26321E-3,.17062E-3,0
SL-27 R/B,2014-084B,2022-02-25T10:50:26.693376,15.42419970,.003452,74.7381,187.9796,63.0544,297.4189,0,U,40354,999,40372,.10061E-3,.4394E-4,0
YAOGAN 29,2015-069A,2022-02-25T07:22:37.473888,14.80583822,.0002228,98.0537,56.0116,69.3596,290.7859,0,U,41038,999,33769,.33056E-4,.2E-5,0
ASTRO-H (HITOMI),2016-012A,2022-02-24T16:22:43.425984,14.99096762,.0012122,31.0059,55.3605,52.0689,308.1040,0,U,41337,999,33018,.659E-4,.905E-5,0
HXMT (HUIYAN),2017-034A,2022-02-25T08:41:47.903136,15.09751261,.0009616,43.0164,244.4633,297.3199,127.1793,0,U,42758,999,25923,.10309E-3,.1473E-4,0
CZ-2C R/B,2018-054D,2022-02-25T01:48:35.937216,15.12336926,.0080166,35.1543,330.8943,170.1535,190.0769,0,U,43521,999,20265,.10704E-3,.2012E-4,0
AEOLUS,2018-066A,2022-02-25T11:57:28.310112,15.87206592,.0003872,96.7124,64.2905,99.5335,260.6376,0,U,43600,999,20337,.32802E-3,.8565E-3,0
SAOCOM 1A,2018-076A,2022-02-25T09:50:43.916064,14.82144529,.0001555,97.8864,244.7035,84.4997,275.6494,0,U,43641,999,18313,-.50256E-4,-.452E-5,0
SAOCOM 1B,2020-059A,2022-02-25T12:12:47.990592,14.82158261,.0001381,97.8863,243.8700,78.9368,281.2005,0,U,46265,999,8054,.27679E-4,.168E-5,0
SL-4 R/B,2021-008B,2022-02-25T15:52:39.147744,16.16718997,.0070942,67.1073,328.3527,78.6684,282.2471,0,U,47547,999,5958,.58794E-3,.1447172E-1,.59135E-5
TIANHE,2021-035A,2022-02-25T13:16:31.556064,15.62085468,.0005398,41.4688,179.1332,7.5528,97.4136,0,U,48274,999,4731,.16895E-3,.14921E-3,0
